signal_score,name,stars,language,category,description,url,last_updated,topics,license,forks,open_issues,readme_snippet
0.7919,prediction-market,166,TypeScript,keyword,Launch Your Own Web3 Decentralized Prediction Market in Minutes (Polymarket like),https://github.com/kuestcom/prediction-market,2026-03-25,"arbitrage, crypto, cryptocurrency, defi, ethereum, kalshi, kalshi-clone, liquidity, opensource, polygon, polymarket, polymarket-clone, prediction-markets, smartcontracts, trade, trade-bot, trading, web3",NOASSERTION,153,2,
0.7918,polymarket-kalshi-arbitrage-bot-15min-market,111,TypeScript,keyword,polymarket kalshi arbitrage bot in 15min market polymarket arbitrage bot kalshi arbitrage bot arbitrage bot in prediction market polymarket bot polymarket trading bot polymarket bot poly arbitrage bot polymarket kalshi arbitrage bot in 15min market polymarket arbitrage bot kalshi arbitrage bot arbitrage bot in prediction market polymarket arbitrage,https://github.com/Krypto-Hashers-Community/polymarket-kalshi-arbitrage-bot-15min-market,2026-03-25,"kalshi-arbitrage, kalshi-arbitrage-bot, kalshi-arbitrage-trading-bot, polymarket-15min-trading-bot, polymarket-arbitrage-bot, polymarket-arbitrage-trading, polymarket-arbitrage-trading-bot, polymarket-bot, polymarket-kalshi-arbitrage, polymarket-kalshi-arbitrage-trading-bot, polymarket-kalshi-trading-bot",,311,1,
0.7484,Prediction-Markets-Trading-Bot-Toolkits,176,Rust,keyword,kalshi trading bot kalshi trading bot kalshi arbitrage bot kalshi trading bot kalshi trading bot kalshi trading bot kalshi trading bot kalshi trading bot kalshi trading bot kalshi trading bot kalshi trading bot kalshi trading bot kalshi trading bot kalshi trading bot kalshi trading bot polymarket trading bot polymarket trading bot polymarket tradin,https://github.com/haredoggy/Prediction-Markets-Trading-Bot-Toolkits,2026-03-25,"arbitrage, bot, copy, kalshi, polymarket, trading",MIT,154,0,
0.7083,pmxt,1165,TypeScript,keyword,"CCXT for prediction markets. A unified API for trading on Polymarket, Kalshi, and more.",https://github.com/pmxt-dev/pmxt,2026-03-25,"algotrading, arbitrage, ccxt, kalshi, market-data, polymarket, prediction-markets, unified-api",MIT,115,9,
0.6462,OctoBot-Prediction-Market,52,Python,keyword,"Polymarket open source trading bot to automate copy trading and arbitrage strategies on crypto prediction markets for free, with simple interface.",https://github.com/Drakkar-Software/OctoBot-Prediction-Market,2026-03-25,"arbitrage, arbitragebot, bot, copy-trading, kalshi, octobot, polymarket, polymarket-arbitrage, prediction-market, prediction-market-bot, prediction-markets, self-custody, telegram, trading, tradingbot, user-interface",GPL-3.0,12,3,
0.6372,dr-manhattan-rust,48,Rust,keyword,"A CCXT-style unified API for prediction markets (Polymarket, Limitless, Opinion, Kalshi and Predict.fun) with Rust",https://github.com/gtg7784/dr-manhattan-rust,2026-03-17,"arbitrage, ccxt, ccxt-rust, kalshi, kalshi-api, limitless, opinion, polymarket, predictfun, prediction, prediction-market, prediction-market-arbitrage, rust",,7,0,
0.6317,polymarket-trading-bot-desktop-btc-2026c,52,Rust,keyword,"🚀 Execute profitable trades with this Rust-based arbitrage bot for Polymarket, monitoring BTC and SOL 15-minute price prediction markets.",https://github.com/Echorashop79/polymarket-trading-bot-desktop-btc-2026c,2026-03-25,"bitcoin, block-engine, blockchain, bot, crypto, discord, discord-bot, ethereum, grpc, kalshi, memecoin, onchain, polygon, polymarket-market-maker, prediction-market-bot, profitable, rust-trading-bot, solana, trading",NOASSERTION,4,0,
0.6305,dr-manhattan,179,Jupyter Notebook,keyword,"CCXT for prediction markets · #1 Open Source for Market-making, Trading, Data Analysis on Polymarket & Kalshi & Limitless & Opinion & Predictfun & etc",https://github.com/guzus/dr-manhattan,2026-03-23,"arbitrage, kalshi, limitless, market-making, opinion, polymarket, prediction-markets",,27,23,
0.6113,polymarket-kalshi-arbitrage-bot,34,Rust,keyword,Polymarket Kalshi Arbitrage Bot: Rust trading bot for cross-platform arbitrage between Polymarket and Kalshi prediction markets.,https://github.com/TopTrenDev/polymarket-kalshi-arbitrage-bot,2026-03-25,"kalshi-arbitrage-bot, kalshi-arbitrage-trading-bot, polymarket-arbitrage-bot, polymarket-arbitrage-trading, polymarket-kalshi-arbitrage, polymarket-kalshi-arbitrage-trading-bot",,10,0,
0.6085,dr-manhattan-ts,51,TypeScript,keyword,"A CCXT-style unified API for prediction markets (Polymarket, Limitless, Opinion, Kalshi, Predict.fun) with Typescript",https://github.com/gtg7784/dr-manhattan-ts,2026-03-17,"arbitrage, ccxt, kalshi, limitless, opinion, polymarket, predictfun, prediction, prediction-market, prediction-market-arbitrage, prediction-market-bot, typescript",MIT,7,10,
0.5895,Polymarket-Kalshi-arbitrage-bot,19,Unknown,keyword,"A production-ready TypeScript toolkit for Bitcoin 15-minute up/down prediction markets on Kalshi and Polymarket. Combines dual-venue monitoring, automated arbitrage detection, and cross-platform order execution.",https://github.com/Q18thang603/Polymarket-Kalshi-arbitrage-bot,2026-03-25,"arbitrage, copy-trading, kalshi, kalshi-bot, kalshi-polymarket-arbitrage-trading-bot, kalshi-trading-bot, polymarket-bot, polymarket-kalshi-bot, polymarket-kalshi-btc-trading-bot, polymarket-kalshi-trading-bot, polymarket-trade-bot, polymarket-trading-bot, trading-bot, web3",,0,0,
0.5847,homerun,10,Python,keyword,"Open-source prediction market trading platform for Polymarket & Kalshi. Write full Python strategies & data sources, backtest them, then paper or live trade. 25+ built-in strategies, copy trading, AI scoring, real-time dashboard. One-click setup.",https://github.com/braedonsaunders/homerun,2026-03-24,"ai-trading, algorithmic-trading, arbitrage, autonomous-trading, copy-trading, crypto, defi, fastapi, kalshi, open-source, paper-trading, polymarket, prediction-markets, python, quantitative-finance, react, trading-bot, trading-platform, typescript, websocket",MIT,1,0,
0.5839,prediction-market-arbitrage-bot,127,JavaScript,keyword,A bot that detects and executes arbitrage strategies between Polymarket and Kalshi. auto-buy low/sell high. Built with https://pmxt.dev,https://github.com/realfishsam/prediction-market-arbitrage-bot,2026-03-25,,MIT,31,0,
0.5496,Prediction-Market-Arbitrage,14,Unknown,keyword,Automated arbitrage detection for prediction markets,https://github.com/arbbets/Prediction-Market-Arbitrage,2026-03-17,"kalshi, polymarket, prediction-markets, sports-betting",,3,0,
0.5212,event-contract-arbitrage,31,TypeScript,keyword,"Leveraging price discrepancies to find arbitrage opportunities in prediction markets like Polymarket, Kalshi, and Robinhood.",https://github.com/akhan280/event-contract-arbitrage,2026-03-17,,,5,1,
